GSM_ID,title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1,treatment_protocol_ch1,growth_protocol_ch1,molecule_ch1,extract_protocol_ch1,data_processing,platform_id,contact_name,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,instrument_model,library_selection,library_source,library_strategy,relation,supplementary_file_1,series_id,data_row_count
GSM3767957,Sample 1_I025,GSM3767957,Public on Apr 10 2020,May 15 2019,Apr 10 2020,SRA,1,iPSC-CMs,Homo sapiens,9606,cell line source: iPSC line 1 | cell type: iPSC-cardiomyocytes (iPSC-CMs) | culture period: Day 30,"iPSC-CMs were cultured until day 30, as well as long-term until day 90 and day 200.",iPSCs were differentiated into iPSC-cardiomyocytes (iPSC-CMs) using a monolayer small molecule-based method.,total RNA,"RNA was extracted using a miRNeasy Mini Kit, and collected total RNA was used for RNA-sequencing. | AmpliSeq sequencing data was performed using the AmpliSeq plugin available for Ion Torrent™ sequencing platforms","hg19 AmpliSeq transcriptome ERCC v1 was used as a reference genome for alignment of raw sequencing reads. | Read count normalization was performed using the regularized logarithm (rlog) method provided in DESeq2 (PMID: 25516281). | Differentially expressed genes were identified using DESeq2, and p-values were adjusted for multiple testing using the procedure of Benjamini and Hochberg. | Genome_build: hg19 AmpliSeq transcriptome | Supplementary_files_format_and_content: Ion Suite",GPL17301,"Joseph,,Wu",Stanford University School of Medicine,Stanford University School of Medicine,Stanford,Carlifornia,94305,USA,Ion Torrent PGM,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11652406 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5833497,NONE,GSE131236,0
GSM3767958,Sample 2_I026,GSM3767958,Public on Apr 10 2020,May 15 2019,Apr 10 2020,SRA,1,iPSC-CMs,Homo sapiens,9606,cell line source: iPSC line 2 | cell type: iPSC-cardiomyocytes (iPSC-CMs) | culture period: Day 30,"iPSC-CMs were cultured until day 30, as well as long-term until day 90 and day 200.",iPSCs were differentiated into iPSC-cardiomyocytes (iPSC-CMs) using a monolayer small molecule-based method.,total RNA,"RNA was extracted using a miRNeasy Mini Kit, and collected total RNA was used for RNA-sequencing. | AmpliSeq sequencing data was performed using the AmpliSeq plugin available for Ion Torrent™ sequencing platforms","hg19 AmpliSeq transcriptome ERCC v1 was used as a reference genome for alignment of raw sequencing reads. | Read count normalization was performed using the regularized logarithm (rlog) method provided in DESeq2 (PMID: 25516281). | Differentially expressed genes were identified using DESeq2, and p-values were adjusted for multiple testing using the procedure of Benjamini and Hochberg. | Genome_build: hg19 AmpliSeq transcriptome | Supplementary_files_format_and_content: Ion Suite",GPL17301,"Joseph,,Wu",Stanford University School of Medicine,Stanford University School of Medicine,Stanford,Carlifornia,94305,USA,Ion Torrent PGM,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11652405 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5833498,NONE,GSE131236,0
GSM3767959,Sample 3_I027,GSM3767959,Public on Apr 10 2020,May 15 2019,Apr 10 2020,SRA,1,iPSC-CMs,Homo sapiens,9606,cell line source: iPSC line 1 | cell type: iPSC-cardiomyocytes (iPSC-CMs) | culture period: Day 90,"iPSC-CMs were cultured until day 30, as well as long-term until day 90 and day 200.",iPSCs were differentiated into iPSC-cardiomyocytes (iPSC-CMs) using a monolayer small molecule-based method.,total RNA,"RNA was extracted using a miRNeasy Mini Kit, and collected total RNA was used for RNA-sequencing. | AmpliSeq sequencing data was performed using the AmpliSeq plugin available for Ion Torrent™ sequencing platforms","hg19 AmpliSeq transcriptome ERCC v1 was used as a reference genome for alignment of raw sequencing reads. | Read count normalization was performed using the regularized logarithm (rlog) method provided in DESeq2 (PMID: 25516281). | Differentially expressed genes were identified using DESeq2, and p-values were adjusted for multiple testing using the procedure of Benjamini and Hochberg. | Genome_build: hg19 AmpliSeq transcriptome | Supplementary_files_format_and_content: Ion Suite",GPL17301,"Joseph,,Wu",Stanford University School of Medicine,Stanford University School of Medicine,Stanford,Carlifornia,94305,USA,Ion Torrent PGM,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11652404 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5833499,NONE,GSE131236,0
GSM3767960,Sample 4_I028,GSM3767960,Public on Apr 10 2020,May 15 2019,Apr 10 2020,SRA,1,iPSC-CMs,Homo sapiens,9606,cell line source: iPSC line 2 | cell type: iPSC-cardiomyocytes (iPSC-CMs) | culture period: Day 90,"iPSC-CMs were cultured until day 30, as well as long-term until day 90 and day 200.",iPSCs were differentiated into iPSC-cardiomyocytes (iPSC-CMs) using a monolayer small molecule-based method.,total RNA,"RNA was extracted using a miRNeasy Mini Kit, and collected total RNA was used for RNA-sequencing. | AmpliSeq sequencing data was performed using the AmpliSeq plugin available for Ion Torrent™ sequencing platforms","hg19 AmpliSeq transcriptome ERCC v1 was used as a reference genome for alignment of raw sequencing reads. | Read count normalization was performed using the regularized logarithm (rlog) method provided in DESeq2 (PMID: 25516281). | Differentially expressed genes were identified using DESeq2, and p-values were adjusted for multiple testing using the procedure of Benjamini and Hochberg. | Genome_build: hg19 AmpliSeq transcriptome | Supplementary_files_format_and_content: Ion Suite",GPL17301,"Joseph,,Wu",Stanford University School of Medicine,Stanford University School of Medicine,Stanford,Carlifornia,94305,USA,Ion Torrent PGM,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11652409 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5833494,NONE,GSE131236,0
