"sample_id","series","title","characteristics","day_estimate","condition"
"GSM3465441","GSE122380","18907_4","individual: 18907,time: differentiation day 4,cell type: differentiating iPSC-derived cardiomyocytes",4,"Embryonic"
"GSM3465442","GSE122380","18907_5","individual: 18907,time: differentiation day 5,cell type: differentiating iPSC-derived cardiomyocytes",5,"Embryonic"
"GSM3465443","GSE122380","18907_6","individual: 18907,time: differentiation day 6,cell type: differentiating iPSC-derived cardiomyocytes",6,"Embryonic"
"GSM3465444","GSE122380","18907_7","individual: 18907,time: differentiation day 7,cell type: differentiating iPSC-derived cardiomyocytes",7,"Embryonic"
"GSM3465445","GSE122380","18907_8","individual: 18907,time: differentiation day 8,cell type: differentiating iPSC-derived cardiomyocytes",8,"Embryonic"
"GSM3465446","GSE122380","18907_9","individual: 18907,time: differentiation day 9,cell type: differentiating iPSC-derived cardiomyocytes",9,"Embryonic"
"GSM3465447","GSE122380","18912_0","individual: 18912,time: differentiation day 0,cell type: iPSCs",0,"Embryonic"
"GSM3465448","GSE122380","18912_10","individual: 18912,time: differentiation day 10,cell type: differentiating iPSC-derived cardiomyocytes",10,"Embryonic"
"GSM3465449","GSE122380","18912_11","individual: 18912,time: differentiation day 11,cell type: differentiating iPSC-derived cardiomyocytes",11,"Embryonic"
"GSM3465450","GSE122380","18912_12","individual: 18912,time: differentiation day 12,cell type: differentiating iPSC-derived cardiomyocytes",12,"Embryonic"
"GSM3465451","GSE122380","18912_13","individual: 18912,time: differentiation day 13,cell type: differentiating iPSC-derived cardiomyocytes",13,"Embryonic"
"GSM3465452","GSE122380","18912_14","individual: 18912,time: differentiation day 14,cell type: differentiating iPSC-derived cardiomyocytes",14,"Embryonic"
"GSM3465453","GSE122380","18912_15","individual: 18912,time: differentiation day 15,cell type: differentiating iPSC-derived cardiomyocytes",15,"Embryonic"
"GSM3465454","GSE122380","18912_1","individual: 18912,time: differentiation day 1,cell type: differentiating iPSC-derived cardiomyocytes",1,"Embryonic"
"GSM3465455","GSE122380","18912_2","individual: 18912,time: differentiation day 2,cell type: differentiating iPSC-derived cardiomyocytes",2,"Embryonic"
"GSM3465456","GSE122380","18912_3","individual: 18912,time: differentiation day 3,cell type: differentiating iPSC-derived cardiomyocytes",3,"Embryonic"
"GSM3465457","GSE122380","18912_4","individual: 18912,time: differentiation day 4,cell type: differentiating iPSC-derived cardiomyocytes",4,"Embryonic"
"GSM3465458","GSE122380","18912_5","individual: 18912,time: differentiation day 5,cell type: differentiating iPSC-derived cardiomyocytes",5,"Embryonic"
"GSM3465459","GSE122380","18912_6","individual: 18912,time: differentiation day 6,cell type: differentiating iPSC-derived cardiomyocytes",6,"Embryonic"
"GSM3465460","GSE122380","18912_7","individual: 18912,time: differentiation day 7,cell type: differentiating iPSC-derived cardiomyocytes",7,"Embryonic"
"GSM3465461","GSE122380","18912_8","individual: 18912,time: differentiation day 8,cell type: differentiating iPSC-derived cardiomyocytes",8,"Embryonic"
"GSM3465462","GSE122380","18912_9","individual: 18912,time: differentiation day 9,cell type: differentiating iPSC-derived cardiomyocytes",9,"Embryonic"
"GSM3465463","GSE122380","19093_0","individual: 19093,time: differentiation day 0,cell type: iPSCs",0,"Embryonic"
"GSM3465464","GSE122380","19093_10","individual: 19093,time: differentiation day 10,cell type: differentiating iPSC-derived cardiomyocytes",10,"Embryonic"
"GSM3465465","GSE122380","19093_11","individual: 19093,time: differentiation day 11,cell type: differentiating iPSC-derived cardiomyocytes",11,"Embryonic"
"GSM3465466","GSE122380","19093_12","individual: 19093,time: differentiation day 12,cell type: differentiating iPSC-derived cardiomyocytes",12,"Embryonic"
"GSM3465467","GSE122380","19093_13","individual: 19093,time: differentiation day 13,cell type: differentiating iPSC-derived cardiomyocytes",13,"Embryonic"
"GSM3465468","GSE122380","19093_14","individual: 19093,time: differentiation day 14,cell type: differentiating iPSC-derived cardiomyocytes",14,"Embryonic"
"GSM3465469","GSE122380","19093_15","individual: 19093,time: differentiation day 15,cell type: differentiating iPSC-derived cardiomyocytes",15,"Embryonic"
"GSM3465470","GSE122380","19093_1","individual: 19093,time: differentiation day 1,cell type: differentiating iPSC-derived cardiomyocytes",1,"Embryonic"
"GSM3465471","GSE122380","19093_2","individual: 19093,time: differentiation day 2,cell type: differentiating iPSC-derived cardiomyocytes",2,"Embryonic"
"GSM3465472","GSE122380","19093_3","individual: 19093,time: differentiation day 3,cell type: differentiating iPSC-derived cardiomyocytes",3,"Embryonic"
"GSM3465473","GSE122380","19093_4","individual: 19093,time: differentiation day 4,cell type: differentiating iPSC-derived cardiomyocytes",4,"Embryonic"
"GSM3465474","GSE122380","19093_5","individual: 19093,time: differentiation day 5,cell type: differentiating iPSC-derived cardiomyocytes",5,"Embryonic"
"GSM3465475","GSE122380","19093_6","individual: 19093,time: differentiation day 6,cell type: differentiating iPSC-derived cardiomyocytes",6,"Embryonic"
"GSM3465476","GSE122380","19093_7","individual: 19093,time: differentiation day 7,cell type: differentiating iPSC-derived cardiomyocytes",7,"Embryonic"
"GSM3465477","GSE122380","19093_8","individual: 19093,time: differentiation day 8,cell type: differentiating iPSC-derived cardiomyocytes",8,"Embryonic"
"GSM3465478","GSE122380","19093_9","individual: 19093,time: differentiation day 9,cell type: differentiating iPSC-derived cardiomyocytes",9,"Embryonic"
"GSM3465479","GSE122380","19108_0","individual: 19108,time: differentiation day 0,cell type: iPSCs",0,"Embryonic"
"GSM3465480","GSE122380","19108_10","individual: 19108,time: differentiation day 10,cell type: differentiating iPSC-derived cardiomyocytes",10,"Embryonic"
"GSM3465481","GSE122380","19108_11","individual: 19108,time: differentiation day 11,cell type: differentiating iPSC-derived cardiomyocytes",11,"Embryonic"
"GSM3465482","GSE122380","19108_12","individual: 19108,time: differentiation day 12,cell type: differentiating iPSC-derived cardiomyocytes",12,"Embryonic"
"GSM3465483","GSE122380","19108_13","individual: 19108,time: differentiation day 13,cell type: differentiating iPSC-derived cardiomyocytes",13,"Embryonic"
"GSM3465484","GSE122380","19108_14","individual: 19108,time: differentiation day 14,cell type: differentiating iPSC-derived cardiomyocytes",14,"Embryonic"
"GSM3465485","GSE122380","19108_15","individual: 19108,time: differentiation day 15,cell type: differentiating iPSC-derived cardiomyocytes",15,"Embryonic"
"GSM3465486","GSE122380","19108_1","individual: 19108,time: differentiation day 1,cell type: differentiating iPSC-derived cardiomyocytes",1,"Embryonic"
"GSM3465487","GSE122380","19108_2","individual: 19108,time: differentiation day 2,cell type: differentiating iPSC-derived cardiomyocytes",2,"Embryonic"
"GSM3465488","GSE122380","19108_3","individual: 19108,time: differentiation day 3,cell type: differentiating iPSC-derived cardiomyocytes",3,"Embryonic"
"GSM3465489","GSE122380","19108_5","individual: 19108,time: differentiation day 5,cell type: differentiating iPSC-derived cardiomyocytes",5,"Embryonic"
"GSM3465490","GSE122380","19108_6","individual: 19108,time: differentiation day 6,cell type: differentiating iPSC-derived cardiomyocytes",6,"Embryonic"
"GSM3465491","GSE122380","19108_7","individual: 19108,time: differentiation day 7,cell type: differentiating iPSC-derived cardiomyocytes",7,"Embryonic"
"GSM3465492","GSE122380","19108_8","individual: 19108,time: differentiation day 8,cell type: differentiating iPSC-derived cardiomyocytes",8,"Embryonic"
"GSM3465493","GSE122380","19108_9","individual: 19108,time: differentiation day 9,cell type: differentiating iPSC-derived cardiomyocytes",9,"Embryonic"
"GSM3465494","GSE122380","19127_0","individual: 19127,time: differentiation day 0,cell type: iPSCs",0,"Embryonic"
"GSM3465495","GSE122380","19127_10","individual: 19127,time: differentiation day 10,cell type: differentiating iPSC-derived cardiomyocytes",10,"Embryonic"
"GSM3465496","GSE122380","19127_11","individual: 19127,time: differentiation day 11,cell type: differentiating iPSC-derived cardiomyocytes",11,"Embryonic"
"GSM3465497","GSE122380","19127_12","individual: 19127,time: differentiation day 12,cell type: differentiating iPSC-derived cardiomyocytes",12,"Embryonic"
"GSM3465498","GSE122380","19127_13","individual: 19127,time: differentiation day 13,cell type: differentiating iPSC-derived cardiomyocytes",13,"Embryonic"
"GSM3465499","GSE122380","19127_14","individual: 19127,time: differentiation day 14,cell type: differentiating iPSC-derived cardiomyocytes",14,"Embryonic"
"GSM3465500","GSE122380","19127_15","individual: 19127,time: differentiation day 15,cell type: differentiating iPSC-derived cardiomyocytes",15,"Embryonic"
"GSM3465501","GSE122380","19127_1","individual: 19127,time: differentiation day 1,cell type: differentiating iPSC-derived cardiomyocytes",1,"Embryonic"
"GSM3465502","GSE122380","19127_2","individual: 19127,time: differentiation day 2,cell type: differentiating iPSC-derived cardiomyocytes",2,"Embryonic"
"GSM3465503","GSE122380","19127_3","individual: 19127,time: differentiation day 3,cell type: differentiating iPSC-derived cardiomyocytes",3,"Embryonic"
"GSM3465504","GSE122380","19127_4","individual: 19127,time: differentiation day 4,cell type: differentiating iPSC-derived cardiomyocytes",4,"Embryonic"
"GSM3465505","GSE122380","19127_5","individual: 19127,time: differentiation day 5,cell type: differentiating iPSC-derived cardiomyocytes",5,"Embryonic"
"GSM3465506","GSE122380","19127_6","individual: 19127,time: differentiation day 6,cell type: differentiating iPSC-derived cardiomyocytes",6,"Embryonic"
"GSM3465507","GSE122380","19127_7","individual: 19127,time: differentiation day 7,cell type: differentiating iPSC-derived cardiomyocytes",7,"Embryonic"
"GSM3465508","GSE122380","19127_8","individual: 19127,time: differentiation day 8,cell type: differentiating iPSC-derived cardiomyocytes",8,"Embryonic"
"GSM3465509","GSE122380","19127_9","individual: 19127,time: differentiation day 9,cell type: differentiating iPSC-derived cardiomyocytes",9,"Embryonic"
"GSM3465510","GSE122380","19159_0","individual: 19159,time: differentiation day 0,cell type: iPSCs",0,"Embryonic"
"GSM3465511","GSE122380","19159_10","individual: 19159,time: differentiation day 10,cell type: differentiating iPSC-derived cardiomyocytes",10,"Embryonic"
"GSM3465512","GSE122380","19159_11","individual: 19159,time: differentiation day 11,cell type: differentiating iPSC-derived cardiomyocytes",11,"Embryonic"
"GSM3465513","GSE122380","19159_12","individual: 19159,time: differentiation day 12,cell type: differentiating iPSC-derived cardiomyocytes",12,"Embryonic"
"GSM3465514","GSE122380","19159_13","individual: 19159,time: differentiation day 13,cell type: differentiating iPSC-derived cardiomyocytes",13,"Embryonic"
"GSM3465515","GSE122380","19159_14","individual: 19159,time: differentiation day 14,cell type: differentiating iPSC-derived cardiomyocytes",14,"Embryonic"
"GSM3465516","GSE122380","19159_15","individual: 19159,time: differentiation day 15,cell type: differentiating iPSC-derived cardiomyocytes",15,"Embryonic"
"GSM3465517","GSE122380","19159_1","individual: 19159,time: differentiation day 1,cell type: differentiating iPSC-derived cardiomyocytes",1,"Embryonic"
"GSM3465518","GSE122380","19159_2","individual: 19159,time: differentiation day 2,cell type: differentiating iPSC-derived cardiomyocytes",2,"Embryonic"
"GSM3465519","GSE122380","19159_3","individual: 19159,time: differentiation day 3,cell type: differentiating iPSC-derived cardiomyocytes",3,"Embryonic"
"GSM3465520","GSE122380","19159_4","individual: 19159,time: differentiation day 4,cell type: differentiating iPSC-derived cardiomyocytes",4,"Embryonic"
"GSM3465521","GSE122380","19159_5","individual: 19159,time: differentiation day 5,cell type: differentiating iPSC-derived cardiomyocytes",5,"Embryonic"
"GSM3465522","GSE122380","19159_6","individual: 19159,time: differentiation day 6,cell type: differentiating iPSC-derived cardiomyocytes",6,"Embryonic"
"GSM3465523","GSE122380","19159_7","individual: 19159,time: differentiation day 7,cell type: differentiating iPSC-derived cardiomyocytes",7,"Embryonic"
"GSM3465524","GSE122380","19159_8","individual: 19159,time: differentiation day 8,cell type: differentiating iPSC-derived cardiomyocytes",8,"Embryonic"
"GSM3465525","GSE122380","19159_9","individual: 19159,time: differentiation day 9,cell type: differentiating iPSC-derived cardiomyocytes",9,"Embryonic"
"GSM3465526","GSE122380","19190_0","individual: 19190,time: differentiation day 0,cell type: iPSCs",0,"Embryonic"
